Date,Family,Family ID,Tile Number,Recruit,Single/Clump,Survival,Area,Color,Orientation,Early Missing,Other Notes,"Large, juvenile? "
March,LSxSB,14,7,14.7.31,S,1,,,,,,
June,LSxSB,14,7,14.7.31,S,0,,,,,,
October,LSxSB,14,7,14.7.31,S,0,,,,,,
March,LSxSB,14,8,14.8.2,S,1,1.595,6,,,,
June,LSxSB,14,8,14.8.2,S,0,NA,0,,,,
October,LSxSB,14,8,14.8.2,S,0,NA,0,,,,
March,SBxDR,15,10,15.10.2,S,1,NA,NA,,Y,,
June,SBxDR,15,10,15.10.2,S,1,NA,NA,,Y,,
October,SBxDR,15,10,15.10.2,S,1,1.794,5,,,,
March,SBxDR,15,13,15.13.2,S,1,NA,NA,,Y,,
June,SBxDR,15,13,15.13.2,S,1,1.209,2,,,,
October,SBxDR,15,13,15.13.2,S,0,NA,0,,,,
March,SBxDR,15,14,15.14.3,S,1,1.513,6,,,,
June,SBxDR,15,14,15.14.3,S,0,NA,0,,,,
October,SBxDR,15,14,15.14.3,S,0,NA,0,,,,
March,SBxDR,15,14,15.14.5,S,1,1.306,6,,,,
June,SBxDR,15,14,15.14.5,S,0,NA,0,,,,
October,SBxDR,15,14,15.14.5,S,0,NA,0,,,,
March,SBxDR,15,16,15.16.1,S,1,NA,NA,,Y,,
June,SBxDR,15,16,15.16.1,S,1,NA,NA,,Y,,
October,SBxDR,15,16,15.16.1,S,1,2.123,5,,,,
March,SBxDR,15,19,15.19.1,S,1,,,,,,
June,SBxDR,15,19,15.19.1,S,0,,,,,,
October,SBxDR,15,19,15.19.1,S,0,,,,,,
March,SBxDR,15,19,15.19.4,S,1,0.819,6,,,,
June,SBxDR,15,19,15.19.4,S,0,NA,0,,,,
October,SBxDR,15,19,15.19.4,S,0,NA,0,,,,
March,SBxDR,15,21,15.21.11,S,1,NA,NA,,Y,,
June,SBxDR,15,21,15.21.11,S,1,NA,NA,,Y,,
October,SBxDR,15,21,15.21.11,S,1,NA,NA,,Y,,
March,SBxDR,15,23,15.23.1,S,1,1.282,6,,,,
June,SBxDR,15,23,15.23.1,S,0,NA,0,,,,
October,SBxDR,15,23,15.23.1,S,0,NA,0,,,,
March,SBxDR,15,23,15.23.17,S,1,1.394,6,,,,
June,SBxDR,15,23,15.23.17,S,0,NA,0,,,,
October,SBxDR,15,23,15.23.17,S,0,NA,0,,,,
March,SBxDR,15,23,15.23.4,S,1,1.151,6,,,,
June,SBxDR,15,23,15.23.4,S,0,NA,0,,,,
October,SBxDR,15,23,15.23.4,S,0,NA,0,,,,
March,SBxDR,15,24,15.24.1,S,1,NA,NA,Front,,,
June,SBxDR,15,24,15.24.1,S,1,NA,NA,Front,,,
October,SBxDR,15,24,15.24.1,S,1,3.257,5,Back,,,
March,SBxDR,15,26,15.26.2,S,1,1.478,5,,,,
June,SBxDR,15,26,15.26.2,S,0,NA,0,,,,
October,SBxDR,15,26,15.26.2,S,0,NA,0,,,,
March,SBxDR,15,26,15.26.3,S,1,1.152,5,,,,
June,SBxDR,15,26,15.26.3,S,0,NA,0,,,,
October,SBxDR,15,26,15.26.3,S,0,NA,0,,,,
March,SBxDR,15,27,15.27.1,S,1,1.237,6,,,,
June,SBxDR,15,27,15.27.1,S,0,NA,0,,,,
October,SBxDR,15,27,15.27.1,S,0,NA,0,,,,
March,SBxDR,15,28,15.28.11,C,1,,,,,,
June,SBxDR,15,28,15.28.11,C,0,,,,,,
October,SBxDR,15,28,15.28.11,C,0,,,,,,
March,SBxDR,15,29,15.29.10,S,1,1.736,6,,,,
June,SBxDR,15,29,15.29.10,S,0,NA,0,,,,
October,SBxDR,15,29,15.29.10,S,0,NA,0,,,,
March,SBxDR,15,30,15.30.1,S,1,1.359,6,,,,
June,SBxDR,15,30,15.30.1,S,0,NA,0,,,,
October,SBxDR,15,30,15.30.1,S,0,NA,0,,,,
March,SBxDR,15,30,15.30.16,S,1,,,,,,
June,SBxDR,15,30,15.30.16,S,0,,,,,,
October,SBxDR,15,30,15.30.16,S,0,,,,,,
March,SBxDR,15,30,15.30.22,S,1,,,,,,
June,SBxDR,15,30,15.30.22,S,0,,,,,,
October,SBxDR,15,30,15.30.22,S,0,,,,,,
March,SBxDR,15,30,15.30.4,S,1,,,,,,
June,SBxDR,15,30,15.30.4,S,0,,,,,,
October,SBxDR,15,30,15.30.4,S,0,,,,,,
March,SBxDR,15,32,15.32.12,S,1,1.485,6,,,,
June,SBxDR,15,32,15.32.12,S,0,NA,0,,,,
October,SBxDR,15,32,15.32.12,S,0,NA,0,,,,
March,SBxDR,15,32,15.32.26,S,1,,,,,,
June,SBxDR,15,32,15.32.26,S,0,,,,,,
October,SBxDR,15,32,15.32.26,S,0,,,,,,
March,SBxDR,15,32,15.32.27,S,1,,,,,,
June,SBxDR,15,32,15.32.27,S,0,,,,,,
October,SBxDR,15,32,15.32.27,S,0,,,,,,
March,SBxDR,15,32,15.32.28,S,1,NA,NA,,,,
June,SBxDR,15,32,15.32.28,S,1,NA,NA,,,,
October,SBxDR,15,32,15.32.28,S,1,2.949,6,,,,
March,SBxDR,15,32,15.32.4,S,1,1.343,5,,,,
June,SBxDR,15,32,15.32.4,S,0,NA,0,,,,
October,SBxDR,15,32,15.32.4,S,0,NA,0,,,,
March,SBxDR,15,33,15.33.2,S,1,1.116,6,,,,
June,SBxDR,15,33,15.33.2,S,0,NA,0,,,,
October,SBxDR,15,33,15.33.2,S,0,NA,0,,,,
March,SBxDR,15,33,15.33.3,S,1,0.979,6,,,,
June,SBxDR,15,33,15.33.3,S,0,NA,0,,,,
October,SBxDR,15,33,15.33.3,S,0,NA,0,,,,
March,SBxDR,15,34,15.34.11,C,1,,,,,,
June,SBxDR,15,34,15.34.11,C,0,,,,,,
October,SBxDR,15,34,15.34.11,C,0,,,,,,
March,SBxDR,15,34,15.34.13,S,1,1.161,5,,,,
June,SBxDR,15,34,15.34.13,S,0,NA,0,,,,
October,SBxDR,15,34,15.34.13,S,0,NA,0,,,,
March,SBxDR,15,34,15.34.15,S,1,NA,NA,Front,,,
June,SBxDR,15,34,15.34.15,S,D,0.835,1,Back,,,
October,SBxDR,15,34,15.34.15,S,0,NA,0,,,,
March,SBxDR,15,35,15.35.10,S,1,,,,,,
June,SBxDR,15,35,15.35.10,S,0,,,,,,
October,SBxDR,15,35,15.35.10,S,0,,,,,,
March,SBxDR,15,35,15.35.3,C,1,,,,,,
June,SBxDR,15,35,15.35.3,C,0,,,,,,
October,SBxDR,15,35,15.35.3,C,0,,,,,,
March,SBxDR,15,35,15.35.7,S,1,1.467,6,,,,
June,SBxDR,15,35,15.35.7,S,0,NA,0,,,,
October,SBxDR,15,35,15.35.7,S,0,NA,0,,,,
March,SBxDR,15,35,15.35.8,S,1,1.691,6,,,,
June,SBxDR,15,35,15.35.8,S,0,NA,0,,,,
October,SBxDR,15,35,15.35.8,S,0,NA,0,,,,
March,SBxDR,15,36,15.36.10,S,1,1.152,6,,,,
June,SBxDR,15,36,15.36.10,S,0,NA,0,,,,
October,SBxDR,15,36,15.36.10,S,0,NA,0,,,,
March,SBxDR,15,36,15.36.11,S,1,,,,,,
June,SBxDR,15,36,15.36.11,S,0,,,,,,
October,SBxDR,15,36,15.36.11,S,0,,,,,,
March,SBxDR,15,36,15.36.12,S,1,,,,,,
June,SBxDR,15,36,15.36.12,S,0,,,,,,
October,SBxDR,15,36,15.36.12,S,0,,,,,,
March,SBxDR,15,36,15.36.13,S,1,,,,,,
June,SBxDR,15,36,15.36.13,S,0,,,,,,
October,SBxDR,15,36,15.36.13,S,0,,,,,,
March,SBxDR,15,36,15.36.8,S,1,,,,,,
June,SBxDR,15,36,15.36.8,S,0,,,,,,
October,SBxDR,15,36,15.36.8,S,0,,,,,,
March,SBxDR,15,36,15.36.9,S,1,0.956,5,,,,
June,SBxDR,15,36,15.36.9,S,0,NA,0,,,,
October,SBxDR,15,36,15.36.9,S,0,NA,0,,,,
March,SBxDR,15,37,15.37.1,C,1,2.218,5,,,,
June,SBxDR,15,37,15.37.1,C,0,NA,0,,,,
October,SBxDR,15,37,15.37.1,C,0,NA,0,,,,
March,SBxDR,15,38,15.38.1,S,1,1.122,5,,,,
June,SBxDR,15,38,15.38.1,S,0,NA,0,,,,
October,SBxDR,15,38,15.38.1,S,0,NA,0,,,,
March,SBxDR,15,8,15.8.7,S,1,1.373,6,,,,
June,SBxDR,15,8,15.8.7,S,0,NA,0,,,,
October,SBxDR,15,8,15.8.7,S,0,NA,0,,,,
March,SBxDR,15,8,15.8.8,S,1,,,,,,
June,SBxDR,15,8,15.8.8,S,0,,,,,,
October,SBxDR,15,8,15.8.8,S,0,,,,,,
March,SBxLS,16,11,16.11.1,S,1,0.457,6,,,,
June,SBxLS,16,11,16.11.1,S,1,4.278,6,,,,
October,SBxLS,16,11,16.11.1,S,0,NA,0,,,,
March,SBxLS,16,13,16.13.1,S,1,NA,NA,Front,,,
June,SBxLS,16,13,16.13.1,S,1,2.89,6,Back,,,
October,SBxLS,16,13,16.13.1,S,1,3.955,6,Back,,,
March,SBxLS,16,16,16.16.1,C,1,1.719,6,,,,
June,SBxLS,16,16,16.16.1,C,1,2.678,5,,,,
October,SBxLS,16,16,16.16.1,C,0,NA,0,,,,
March,SBxLS,16,16,16.16.2,S,1,NA,NA,,Y,,
June,SBxLS,16,16,16.16.2,S,1,2.189,2,,,,
October,SBxLS,16,16,16.16.2,S,0,NA,0,,,,
March,SBxLS,16,18,16.18.9,S,1,1.324,5,,,,
June,SBxLS,16,18,16.18.9,S,0,NA,0,,,,
October,SBxLS,16,18,16.18.9,S,0,NA,0,,,,
March,SBxLS,16,6,16.6.1,S,1,NA,NA,,Y,,
June,SBxLS,16,6,16.6.1,S,1,NA,NA,,Y,,
October,SBxLS,16,6,16.6.1,S,1,1.659,2,,,,
March,SBxLS,16,6,16.6.2,S,1,1.653,6,,,,
June,SBxLS,16,6,16.6.2,S,1,NA,NA,,Y,,
October,SBxLS,16,6,16.6.2,S,1,3.684,2,,,,
March,SBxSB,17,1,17.1.11,C,1,,,,,,
June,SBxSB,17,1,17.1.11,C,0,,,,,,
October,SBxSB,17,1,17.1.11,C,0,,,,,,
March,SBxSB,17,10,17.10.12,C,1,,,,,,
June,SBxSB,17,10,17.10.12,C,0,,,,,,
October,SBxSB,17,10,17.10.12,C,0,,,,,,
March,SBxSB,17,10,17.10.20,C,1,,,,,,
June,SBxSB,17,10,17.10.20,C,0,,,,,,
October,SBxSB,17,10,17.10.20,C,0,,,,,,
March,SBxSB,17,10,17.10.25,C,1,,,,,,
June,SBxSB,17,10,17.10.25,C,0,,,,,,
October,SBxSB,17,10,17.10.25,C,0,,,,,,
March,SBxSB,17,10,17.10.26,S,1,1.098,5,,,,
June,SBxSB,17,10,17.10.26,S,0,NA,0,,,,
October,SBxSB,17,10,17.10.26,S,0,NA,0,,,,
March,SBxSB,17,10,17.10.27,C,1,,,,,,
June,SBxSB,17,10,17.10.27,C,0,,,,,,
October,SBxSB,17,10,17.10.27,C,0,,,,,,
March,SBxSB,17,10,17.10.39,C,1,,,,,,
June,SBxSB,17,10,17.10.39,C,0,,,,,,
October,SBxSB,17,10,17.10.39,C,0,,,,,,
March,SBxSB,17,10,17.10.40,C,1,,,,,,
June,SBxSB,17,10,17.10.40,C,0,,,,,,
October,SBxSB,17,10,17.10.40,C,0,,,,,,
March,SBxSB,17,10,17.10.51,C,1,,,,,,
June,SBxSB,17,10,17.10.51,C,0,,,,,,
October,SBxSB,17,10,17.10.51,C,0,,,,,,
March,SBxSB,17,10,17.10.52,C,1,,,,,,
June,SBxSB,17,10,17.10.52,C,0,,,,,,
October,SBxSB,17,10,17.10.52,C,0,,,,,,
March,SBxSB,17,10,17.10.63,C,1,,,,,,
June,SBxSB,17,10,17.10.63,C,0,,,,,,
October,SBxSB,17,10,17.10.63,C,0,,,,,,
March,SBxSB,17,10,17.10.88,C,1,,,,,,
June,SBxSB,17,10,17.10.88,C,0,,,,,,
October,SBxSB,17,10,17.10.88,C,0,,,,,,
March,SBxSB,17,10,17.10.91,C,1,,,,,,
June,SBxSB,17,10,17.10.91,C,0,,,,,,
October,SBxSB,17,10,17.10.91,C,0,,,,,,
March,SBxSB,17,100,17.100.11,C,1,,,,,,
June,SBxSB,17,100,17.100.11,C,0,,,,,,
October,SBxSB,17,100,17.100.11,C,0,,,,,,
March,SBxSB,17,100,17.100.13,S,1,1.363,5,,,,
June,SBxSB,17,100,17.100.13,S,0,NA,0,,,,
October,SBxSB,17,100,17.100.13,S,0,NA,0,,,,
March,SBxSB,17,100,17.100.30,C,1,,,,,,
June,SBxSB,17,100,17.100.30,C,0,,,,,,
October,SBxSB,17,100,17.100.30,C,0,,,,,,
March,SBxSB,17,100,17.100.4,C,1,,,,,,
June,SBxSB,17,100,17.100.4,C,0,,,,,,
October,SBxSB,17,100,17.100.4,C,0,,,,,,
March,SBxSB,17,100,17.100.5,C,1,,,,,,
June,SBxSB,17,100,17.100.5,C,0,,,,,,
October,SBxSB,17,100,17.100.5,C,0,,,,,,
March,SBxSB,17,101,17.101.1,S,1,1.685,6,,,,
June,SBxSB,17,101,17.101.1,S,0,NA,0,,,,
October,SBxSB,17,101,17.101.1,S,0,NA,0,,,,
March,SBxSB,17,101,17.101.2,S,1,1.695,6,,,,
June,SBxSB,17,101,17.101.2,S,1,2.226,5,,,,
October,SBxSB,17,101,17.101.2,S,1,3.518,6,,,,
March,SBxSB,17,102,17.102.30,S,1,0.616,5,,,,
June,SBxSB,17,102,17.102.30,S,0,NA,0,,,,
October,SBxSB,17,102,17.102.30,S,0,NA,0,,,,
March,SBxSB,17,104,17.104.30,C,1,1.569,6,,,,
June,SBxSB,17,104,17.104.30,C,0,NA,0,,,,
October,SBxSB,17,104,17.104.30,C,0,NA,0,,,,
March,SBxSB,17,106,17.106.14,C,1,,,,,,
June,SBxSB,17,106,17.106.14,C,0,,,,,,
October,SBxSB,17,106,17.106.14,C,0,,,,,,
March,SBxSB,17,107,17.107.5,S,1,0.657,6,,,,
June,SBxSB,17,107,17.107.5,S,0,NA,0,,,,
October,SBxSB,17,107,17.107.5,S,0,NA,0,,,,
March,SBxSB,17,109,17.109.15,C,1,1.346,6,,,,
June,SBxSB,17,109,17.109.15,C,0,NA,0,,,,
October,SBxSB,17,109,17.109.15,C,0,NA,0,,,,
March,SBxSB,17,11,17.11.70,C,1,,,,,,
June,SBxSB,17,11,17.11.70,C,0,,,,,,
October,SBxSB,17,11,17.11.70,C,0,,,,,,
March,SBxSB,17,110,17.110.52,S,1,1.18,5,,,,
June,SBxSB,17,110,17.110.52,S,0,NA,0,,,,
October,SBxSB,17,110,17.110.52,S,0,NA,0,,,,
March,SBxSB,17,111,17.111.6,S,1,0.714,6,,,,
June,SBxSB,17,111,17.111.6,S,0,NA,0,,,,
October,SBxSB,17,111,17.111.6,S,0,NA,0,,,,
March,SBxSB,17,112,17.112.24,S,1,1.081,6,,,,
June,SBxSB,17,112,17.112.24,S,0,NA,0,,,,
October,SBxSB,17,112,17.112.24,S,0,NA,0,,,,
March,SBxSB,17,114,17.114.109,S,1,1.245,6,,,,
June,SBxSB,17,114,17.114.109,S,0,NA,0,,,,
October,SBxSB,17,114,17.114.109,S,0,NA,0,,,,
March,SBxSB,17,114,17.114.112,S,1,NA,NA,Front,,,
June,SBxSB,17,114,17.114.112,S,1,NA,NA,Back,,Cannot find in photo,
October,SBxSB,17,114,17.114.112,S,0,NA,0,,,,
March,SBxSB,17,115,17.115.13,S,1,0.736,6,,,,
June,SBxSB,17,115,17.115.13,S,0,NA,0,,,,
October,SBxSB,17,115,17.115.13,S,0,NA,0,,,,
March,SBxSB,17,115,17.115.26,S,1,,,,,,
June,SBxSB,17,115,17.115.26,S,0,,,,,,
October,SBxSB,17,115,17.115.26,S,0,,,,,,
March,SBxSB,17,115,17.115.27,S,1,,,,,,
June,SBxSB,17,115,17.115.27,S,0,,,,,,
October,SBxSB,17,115,17.115.27,S,0,,,,,,
March,SBxSB,17,115,17.115.28,S,1,0.622,5,,,,
June,SBxSB,17,115,17.115.28,S,0,NA,0,,,,
October,SBxSB,17,115,17.115.28,S,0,NA,0,,,,
March,SBxSB,17,115,17.115.6,S,1,0.65,5,,,,
June,SBxSB,17,115,17.115.6,S,0,NA,0,,,,
October,SBxSB,17,115,17.115.6,S,0,NA,0,,,,
March,SBxSB,17,117,17.117.56,S,1,1.136,6,,,,
June,SBxSB,17,117,17.117.56,S,0,NA,0,,,,
October,SBxSB,17,117,17.117.56,S,0,NA,0,,,,
March,SBxSB,17,117,17.117.6,C,1,1.568,6,,,,
June,SBxSB,17,117,17.117.6,C,0,NA,0,,,,
October,SBxSB,17,117,17.117.6,C,0,NA,0,,,,
March,SBxSB,17,118,17.118.13,C,1,,,,,,
June,SBxSB,17,118,17.118.13,C,0,,,,,,
October,SBxSB,17,118,17.118.13,C,0,,,,,,
March,SBxSB,17,118,17.118.8,C,1,,,,,,
June,SBxSB,17,118,17.118.8,C,0,,,,,,
October,SBxSB,17,118,17.118.8,C,0,,,,,,
March,SBxSB,17,119,17.119.26,S,1,2.146,6,,,,
June,SBxSB,17,119,17.119.26,S,0,NA,0,,,,
October,SBxSB,17,119,17.119.26,S,0,NA,0,,,,
March,SBxSB,17,119,17.119.4,S,1,1.687,6,,,,
June,SBxSB,17,119,17.119.4,S,1,NA,NA,,Y,,
October,SBxSB,17,119,17.119.4,S,1,4.051,5,,,,
March,SBxSB,17,119,17.119.5,S,1,,,,,,
June,SBxSB,17,119,17.119.5,S,0,,,,,,
October,SBxSB,17,119,17.119.5,S,0,,,,,,
March,SBxSB,17,12,17.12.16,C,1,,,,,,
June,SBxSB,17,12,17.12.16,C,0,,,,,,
October,SBxSB,17,12,17.12.16,C,0,,,,,,
March,SBxSB,17,120,17.120.1,C,1,,,,,,
June,SBxSB,17,120,17.120.1,C,0,,,,,,
October,SBxSB,17,120,17.120.1,C,0,,,,,,
March,SBxSB,17,120,17.120.18,S,1,NA,NA,,Y,,
June,SBxSB,17,120,17.120.18,S,1,0.982,5,,,,
October,SBxSB,17,120,17.120.18,S,0,NA,0,,,,
March,SBxSB,17,120,17.120.19,S,1,NA,NA,,Y,,
June,SBxSB,17,120,17.120.19,S,1,NA,NA,,Y,,
October,SBxSB,17,120,17.120.19,S,0,NA,0,,,,
March,SBxSB,17,120,17.120.20,S,1,NA,NA,,Y,,
June,SBxSB,17,120,17.120.20,S,1,NA,NA,,Y,,
October,SBxSB,17,120,17.120.20,S,1,1.885,3,,,,
March,SBxSB,17,121,17.121.1,C,1,4.225,6,,,,
June,SBxSB,17,121,17.121.1,C,D,12.621,1,,,,
October,SBxSB,17,121,17.121.1,C,0,NA,0,,,,
March,SBxSB,17,121,17.121.14,C,1,,,,,,
June,SBxSB,17,121,17.121.14,C,0,,,,,,
October,SBxSB,17,121,17.121.14,C,0,,,,,,
March,SBxSB,17,121,17.121.15,C,1,,,,,,
June,SBxSB,17,121,17.121.15,C,0,,,,,,
October,SBxSB,17,121,17.121.15,C,0,,,,,,
March,SBxSB,17,121,17.121.16,S,1,1.064,5,,,,
June,SBxSB,17,121,17.121.16,S,0,NA,0,,,,
October,SBxSB,17,121,17.121.16,S,0,NA,0,,,,
March,SBxSB,17,121,17.121.3,S,1,1.538,5,,,,
June,SBxSB,17,121,17.121.3,S,0,NA,0,,,,
October,SBxSB,17,121,17.121.3,S,0,NA,0,,,,
March,SBxSB,17,121,17.121.5,C,1,,,,,,
June,SBxSB,17,121,17.121.5,C,0,,,,,,
October,SBxSB,17,121,17.121.5,C,0,,,,,,
March,SBxSB,17,121,17.121.9,C,1,,,,,,
June,SBxSB,17,121,17.121.9,C,0,,,,,,
October,SBxSB,17,121,17.121.9,C,0,,,,,,
March,SBxSB,17,122,17.122.1,C,1,,,,,,
June,SBxSB,17,122,17.122.1,C,0,,,,,,
October,SBxSB,17,122,17.122.1,C,0,,,,,,
March,SBxSB,17,126,17.126.10,C,1,,,,,,
June,SBxSB,17,126,17.126.10,C,0,,,,,,
October,SBxSB,17,126,17.126.10,C,0,,,,,,
March,SBxSB,17,126,17.126.12,S,1,0.798,6,,,,
June,SBxSB,17,126,17.126.12,S,0,NA,0,,,,
October,SBxSB,17,126,17.126.12,S,0,NA,0,,,,
March,SBxSB,17,126,17.126.13,S,1,,,,,,
June,SBxSB,17,126,17.126.13,S,0,,,,,,
October,SBxSB,17,126,17.126.13,S,0,,,,,,
March,SBxSB,17,126,17.126.19,C,1,,,,,,
June,SBxSB,17,126,17.126.19,C,0,,,,,,
October,SBxSB,17,126,17.126.19,C,0,,,,,,
March,SBxSB,17,126,17.126.21,C,1,,,,,,
June,SBxSB,17,126,17.126.21,C,0,,,,,,
October,SBxSB,17,126,17.126.21,C,0,,,,,,
March,SBxSB,17,126,17.126.6,S,1,,,,,,
June,SBxSB,17,126,17.126.6,S,0,,,,,,
October,SBxSB,17,126,17.126.6,S,0,,,,,,
March,SBxSB,17,126,17.126.7,S,1,0.799,5,,,,
June,SBxSB,17,126,17.126.7,S,0,NA,0,,,,
October,SBxSB,17,126,17.126.7,S,0,NA,0,,,,
March,SBxSB,17,126,17.126.8,S,1,,,,,,
June,SBxSB,17,126,17.126.8,S,0,,,,,,
October,SBxSB,17,126,17.126.8,S,0,,,,,,
March,SBxSB,17,126,17.126.9,C,1,,,,,,
June,SBxSB,17,126,17.126.9,C,0,,,,,,
October,SBxSB,17,126,17.126.9,C,0,,,,,,
March,SBxSB,17,127,17.127.1,C,1,7.298,6,,,,
June,SBxSB,17,127,17.127.1,C,1,14.137,2,,,,
October,SBxSB,17,127,17.127.1,C,0,NA,0,,,,
March,SBxSB,17,127,17.127.2,S,1,2.513,6,,,,
June,SBxSB,17,127,17.127.2,S,0,NA,0,,,,
October,SBxSB,17,127,17.127.2,S,0,NA,0,,,,
March,SBxSB,17,127,17.127.3,S,1,0.967,6,,,,
June,SBxSB,17,127,17.127.3,S,0,NA,0,,,,
October,SBxSB,17,127,17.127.3,S,0,NA,0,,,,
March,SBxSB,17,127,17.127.4,C,1,10.03,6,,,,
June,SBxSB,17,127,17.127.4,C,1,19.707,2,,,,
October,SBxSB,17,127,17.127.4,C,0,NA,0,,,,
March,SBxSB,17,129,17.129.6,C,1,,,,,,
June,SBxSB,17,129,17.129.6,C,0,,,,,,
October,SBxSB,17,129,17.129.6,C,0,,,,,,
March,SBxSB,17,13,17.13.21,S,1,0.723,6,,,,
June,SBxSB,17,13,17.13.21,S,0,NA,0,,,,
October,SBxSB,17,13,17.13.21,S,0,NA,0,,,,
March,SBxSB,17,13,17.13.33,C,1,,,,,,
June,SBxSB,17,13,17.13.33,C,0,,,,,,
October,SBxSB,17,13,17.13.33,C,0,,,,,,
March,SBxSB,17,13,17.13.34,C,1,,,,,,
June,SBxSB,17,13,17.13.34,C,0,,,,,,
October,SBxSB,17,13,17.13.34,C,0,,,,,,
March,SBxSB,17,13,17.13.48,S,1,NA,NA,,Y,,
June,SBxSB,17,13,17.13.48,S,1,NA,NA,,,Cannot find in photo,
October,SBxSB,17,13,17.13.48,S,0,NA,0,,,,
March,SBxSB,17,130,17.130.4,C,1,,,,,,
June,SBxSB,17,130,17.130.4,C,0,,,,,,
October,SBxSB,17,130,17.130.4,C,0,,,,,,
March,SBxSB,17,130,17.130.5,C,1,2.052,5,,,,
June,SBxSB,17,130,17.130.5,C,0,NA,0,,,,
October,SBxSB,17,130,17.130.5,C,0,NA,0,,,,
March,SBxSB,17,130,17.130.6,C,1,1.953,5,,,,
June,SBxSB,17,130,17.130.6,C,0,NA,0,,,,
October,SBxSB,17,130,17.130.6,C,0,NA,0,,,,
March,SBxSB,17,130,17.130.7,C,1,1.98,5,,,,
June,SBxSB,17,130,17.130.7,C,0,NA,0,,,,
October,SBxSB,17,130,17.130.7,C,0,NA,0,,,,
March,SBxSB,17,131,17.131.12,C,1,2.638,5,,,,
June,SBxSB,17,131,17.131.12,C,0,NA,0,,,,
October,SBxSB,17,131,17.131.12,C,0,NA,0,,,,
March,SBxSB,17,131,17.131.13,C,1,,,,,,
June,SBxSB,17,131,17.131.13,C,0,,,,,,
October,SBxSB,17,131,17.131.13,C,0,,,,,,
March,SBxSB,17,131,17.131.17,C,1,1.625,5,,,,
June,SBxSB,17,131,17.131.17,C,0,NA,0,,,,
October,SBxSB,17,131,17.131.17,C,0,NA,0,,,,
March,SBxSB,17,131,17.131.18,C,1,,,,,,
June,SBxSB,17,131,17.131.18,C,0,,,,,,
October,SBxSB,17,131,17.131.18,C,0,,,,,,
March,SBxSB,17,131,17.131.22,C,1,,,,,,
June,SBxSB,17,131,17.131.22,C,0,,,,,,
October,SBxSB,17,131,17.131.22,C,0,,,,,,
March,SBxSB,17,131,17.131.24,C,1,,,,,,
June,SBxSB,17,131,17.131.24,C,0,,,,,,
October,SBxSB,17,131,17.131.24,C,0,,,,,,
March,SBxSB,17,131,17.131.32,C,1,,,,,,
June,SBxSB,17,131,17.131.32,C,0,,,,,,
October,SBxSB,17,131,17.131.32,C,0,,,,,,
March,SBxSB,17,131,17.131.36,C,1,,,,,,
June,SBxSB,17,131,17.131.36,C,0,,,,,,
October,SBxSB,17,131,17.131.36,C,0,,,,,,
March,SBxSB,17,132,17.132.7,C,1,2.788,5,,,,
June,SBxSB,17,132,17.132.7,C,1,3.677,5,,,,
October,SBxSB,17,132,17.132.7,C,0,NA,0,,,,
March,SBxSB,17,133,17.133.4,S,1,,,,,,
June,SBxSB,17,133,17.133.4,S,0,,,,,,
October,SBxSB,17,133,17.133.4,S,0,,,,,,
March,SBxSB,17,134,17.134.9,S,1,1.063,6,,,,
June,SBxSB,17,134,17.134.9,S,1,2.268,6,,,,
October,SBxSB,17,134,17.134.9,S,1,2.501,6,,,,
March,SBxSB,17,135,17.135.1,S,1,NA,NA,,,,
June,SBxSB,17,135,17.135.1,S,1,NA,NA,,,,
October,SBxSB,17,135,17.135.1,S,1,2.657,6,,,,
March,SBxSB,17,139,17.139.4,C,1,2.88,5,,,,
June,SBxSB,17,139,17.139.4,C,0,NA,0,,,,
October,SBxSB,17,139,17.139.4,C,0,NA,0,,,,
March,SBxSB,17,14,17.14.166,C,1,,,,,,
June,SBxSB,17,14,17.14.166,C,0,,,,,,
October,SBxSB,17,14,17.14.166,C,0,,,,,,
March,SBxSB,17,14,17.14.46,C,1,3.244,5,,,,
June,SBxSB,17,14,17.14.46,C,0,NA,0,,,,
October,SBxSB,17,14,17.14.46,C,0,NA,0,,,,
March,SBxSB,17,141,17.141.15,C,1,,,,,,
June,SBxSB,17,141,17.141.15,C,0,,,,,,
October,SBxSB,17,141,17.141.15,C,0,,,,,,
March,SBxSB,17,141,17.141.2,S,1,0.963,5,,,,
June,SBxSB,17,141,17.141.2,S,0,NA,0,,,,
October,SBxSB,17,141,17.141.2,S,0,NA,0,,,,
March,SBxSB,17,141,17.141.5,C,1,,,,,,
June,SBxSB,17,141,17.141.5,C,0,,,,,,
October,SBxSB,17,141,17.141.5,C,0,,,,,,
March,SBxSB,17,145,17.145.19,C,1,2.659,6,,,,
June,SBxSB,17,145,17.145.19,C,0,NA,0,,,,
October,SBxSB,17,145,17.145.19,C,0,NA,0,,,,
March,SBxSB,17,16,17.16.32,S,1,0.623,6,,,,
June,SBxSB,17,16,17.16.32,S,0,NA,0,,,,
October,SBxSB,17,16,17.16.32,S,0,NA,0,,,,
March,SBxSB,17,16,17.16.65,S,1,NA,NA,,Y,,
June,SBxSB,17,16,17.16.65,S,1,NA,NA,,Y,,
October,SBxSB,17,16,17.16.65,S,1,1.977,2,,,,
March,SBxSB,17,24,17.24.14,S,1,NA,NA,,Y,,
June,SBxSB,17,24,17.24.14,S,1,NA,NA,,Y,,
October,SBxSB,17,24,17.24.14,S,1,3.81,6,,,,
